,Experiencia de usuario,Customizability,Networking,Monetizacion,Comunicacion,Escalabilidad,Foro de discusion,App,Analytics,Costo,Recomendación,Nota,Link,Conclusión
Guild,"Pefil profesionales, grupos, network",Básica,Conexiones como linkedin,"eventos, externo","Hilos, mensajes directos, comentarios",Flexible,No,Si,"Si, básicas y descarga conversaciones",$0-365/month,Grupos,,https://guild.co/,Crear cuenta
Mighty networks,perfiles individuales,Básica,"alike relations*, similarities, conections y contenido",membresias y cursos,"Chats, feed, posts, eventos, cursos ",Flexible,Si,Si,"Si, básicas",$41-366/month,Communities,No admite api's,https://www.mightynetworks.com/,Hacer Free Trial 
Hivebrite,Perfiles individuales y de compañias,*limitada en comentarios,In person- por ubicación ,"Payments, donations and memberships",Mensajes y posts,targets larger enterprises,Si,Si,Si,Se tiene que hacer el demo,"Education, NGO's, Alumni",HBS* los mensajes no llegaban ,https://hivebrite.io/?utm_term=hivebrite&utm_source=google&utm_medium=cpc&utm_campaign=google_hivebritebrand__na_N_A__search_cpc&hsa_acc=6212665654&hsa_cam=12365555755&hsa_grp=126473228628&hsa_ad=499287183063&hsa_src=g&hsa_tgt=kwd-371532055143&hsa_kw=hivebrite&hsa_mt=e&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjwtqmwBhBVEiwAL-WAYRGiz3SYjcU4bOpyf2hNI2ik-ZCS39asV4Rcq5sTPJQUJft2v71mhhoCdN4QAvD_BwE,Solicitar Demo
Amity,"perfiles individuales, grupos y forumns",Básica,follows,"Membresias (divide miembros only), ventas, donaciones, tickets","chat, posts, comentarios, follows ",Limitada,Si,Si,"si, avanzadas",depende de alcance,PaaS,slow,https://www.amity.co/,
kajabi,Pefil para crear posts,Intermedia,Directorio y leaderboard,"Membresias, cursos, ","Feed, chat y mensajes, canales",Flexible,En canales,Si,"Si, básicas",$119-319/month,online courses,,https://kajabi.com/,
Bettermode,"Perfiles de miembros, badges",Avanzada,Directorio de miembros,No,"mensajes privados, posts, comentarios",Fexible - pequeñas y grandes empresas,Si,Si,Si,$19-99/month,"SaaS, Product marketig, Courses",All-in-one website,https://bettermode.com/,
Thinkific,Panel del curso,Básica,No,Curso o membresia,Anuncios en dashboard,Flexible,No,Si,Si,$36-150/month,Education,e-learning platform,https://www.thinkific.com/,
Learnworlds,perfil y panel del curso,Básica,No,"Cursos, membresia y paquetes",Anuncios en dashboard,Flexible,No,Si,Si,$29-509/month (por la App),Education,e-learning platform,https://www.learnworlds.com/?_gl=1%2A1vyb2zz%2A_up%2AMQ..&gclid=CjwKCAjw5v2wBhBrEiwAXDDoJR7QuE0kh40eUNcMrq5pAaYln9jWTOgYqjkaTWEbR9JRdF6Os2MIxRoCXUYQAvD_BwE,
Circle,"perfil, acceso a cursos y a canales como slack","Básica-
intermedia",No ,"Membresias, pagos individuales, free trials etc. mas opciones","Grupos, chats privados",Flexible,Si,Circle+,Si- necesitan mejora,$49-360.99/month,Courses and newsleters,All-in-one website,https://circle.so/,
Disciple media,"Grupos, perfiles individuales, ",Intermedia,No,"Subscriptions, in-App purchases, Apple/Google Pay  ","notifications, grupos, comentarios, mensajes directos",Pagando,Si,Si*,Si,$633-999/month,-, communities of all shapes and sizes,https://www.disciplemedia.com/,
uscreen,Solo perfil como netflix,Básica,No,Membresia,"Comentarios, encuestas, canales y eventos",Limitada,No,Si,Solo financieras,$149-500/month,video creators,La funcion comunidad es con los $500,https://www.uscreen.tv/,
Higher Logic Vanilla,"perfil, acceso a cursos y a canales como slack","Básica-
intermedia",No ,"Membresias, pagos individuales, free trials etc. mas opciones","Grupos, chats privados",Flexible,Si,si,Si- necesitan mejora,$49-360.99/month,Courses and newsleters,All-in-one website,https://vanilla.higherlogic.com/?utm_medium=paid_search&utm_source=google_adwords&utm_campaign=sitelink_ad&gad_source=1&gclid=Cj0KCQjwsaqzBhDdARIsAK2gqnftt-npvL3-9MDKLMYAyC0SJReLVLdtgucDRomogFtFALuBcs5sMGsaAlWVEALw_wcB,
Facebook Groups,"Grupos, perfiles individuales, ",Intermedia,No,"Subscriptions, in-App purchases, Apple/Google Pay  ","notifications, grupos, comentarios, mensajes directos",Pagando,Si,Si*,Si,$633-999/month,-, communities of all shapes and sizes,https://www.facebook.com/groups/discover/,
Geneva,Panel del curso,Básica,No,Membresia,"Comentarios, encuestas, canales y eventos",Limitada,No,Si,Solo financieras,$149-500/month,video creators,La funcion comunidad es con los $500,https://www.geneva.com/,
Memberium,"perfil, acceso a cursos y a canales como slack","Básica-
intermedia",No ,"Membresias, pagos individuales, free trials etc. mas opciones","Grupos, chats privados",Flexible,Si,si,Si- necesitan mejora,$49-360.99/month,Courses and newsleters,All-in-one website,https://memberium.com/,